order_id,order_date,customer_name,price
2,2021-06-13,Alice,69.76
3,2021-05-10,David,79.75
5,2021-11-26,David,74.82
7,2021-05-09,Charlie,51.73
9,2021-08-22,Alice,54.71
14,2021-05-18,Alice,97.07
15,2021-01-28,Bob,92.4
17,2021-06-21,Charlie,65.96
24,2021-07-02,Bob,58.83
25,2021-07-25,Charlie,81.02
27,2021-05-22,David,79.53
29,2021-10-14,Charlie,94.37
30,2021-04-08,Eva,61.74
32,2021-03-13,Eva,96.54
35,2021-09-05,Alice,89.59
38,2021-03-30,Bob,73.55
41,2021-10-17,Eva,67.53
42,2021-08-28,Alice,89.03
43,2021-05-27,David,54.53
44,2021-09-17,David,98.8
46,2021-11-15,Eva,74.12
48,2021-07-29,Eva,51.63
49,2021-11-06,Alice,51.08
50,2021-01-16,Eva,77.62
52,2021-05-07,Bob,65.91
53,2021-12-24,David,56.71
54,2021-06-18,Alice,97.93
57,2021-04-01,Alice,76.84
59,2021-01-16,Eva,99.45
66,2021-06-06,Charlie,68.83
67,2021-05-12,Charlie,90.2
68,2021-09-20,Alice,68.84
69,2021-10-04,Charlie,58.42
70,2021-05-15,Alice,86.06
71,2021-11-14,Eva,54.6
74,2021-07-26,David,87.48
75,2021-02-16,David,52.49
77,2021-02-25,David,56.14
78,2021-01-18,Bob,88.95
81,2021-08-16,Charlie,89.59
84,2021-08-16,Bob,66.59
88,2021-10-24,Charlie,84.09
92,2021-02-18,Charlie,51.35
95,2021-03-02,David,52.95
96,2021-12-04,David,58.52
97,2021-03-21,David,85.8
98,2021-03-07,Eva,97.13
99,2021-04-14,Eva,73.18
100,2021-11-19,Bob,55.59
