,EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeNumber,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
0,1,41,Yes,Sales,6,4,0,5,1,8,0,Female,Yes,3,3,2,Sales Executive
1,2,49,No,Research & Development,10,7,1,7,2,10,3,Male,No,4,2,2,Research Scientist
2,4,37,Yes,Research & Development,0,0,0,0,4,7,3,Male,Yes,3,2,1,Laboratory Technician
3,5,33,No,Research & Development,8,7,3,0,5,8,3,Female,Yes,3,3,1,Research Scientist
4,7,27,No,Research & Development,2,2,2,2,7,6,3,Male,No,3,3,1,Laboratory Technician
5,8,32,No,Research & Development,7,7,3,6,8,8,2,Male,No,3,3,1,Laboratory Technician
6,10,59,No,Research & Development,1,0,0,0,10,12,3,Female,Yes,4,4,1,Laboratory Technician
7,11,30,No,Research & Development,1,0,0,0,11,1,2,Male,No,4,3,1,Laboratory Technician
8,12,38,No,Research & Development,9,7,1,8,12,10,2,Male,No,4,2,3,Manufacturing Director
9,13,36,No,Research & Development,7,7,7,7,13,17,3,Male,No,3,3,2,Healthcare Representative
10,14,35,No,Research & Development,5,4,0,3,14,6,5,Male,No,3,4,1,Laboratory Technician
11,15,29,No,Research & Development,9,5,0,8,15,10,3,Female,Yes,3,2,2,Laboratory Technician
12,16,31,No,Research & Development,5,2,4,3,16,5,1,Male,No,3,3,1,Research Scientist
13,18,34,No,Research & Development,2,2,1,2,18,3,2,Male,No,3,3,1,Laboratory Technician
14,19,28,Yes,Research & Development,4,2,0,3,19,6,4,Male,Yes,3,2,1,Laboratory Technician
15,20,29,No,Research & Development,10,9,8,8,20,10,1,Female,No,3,4,3,Manufacturing Director
16,21,32,No,Research & Development,6,2,0,5,21,7,5,Male,Yes,3,4,1,Research Scientist
17,22,22,No,Research & Development,1,0,0,0,22,1,2,Male,Yes,3,4,1,Laboratory Technician
18,23,53,No,Sales,25,8,3,7,23,31,3,Female,No,3,2,4,Manager
19,24,38,No,Research & Development,3,2,1,2,24,6,3,Male,Yes,3,3,1,Research Scientist
20,26,24,No,Research & Development,4,2,1,3,26,5,5,Female,No,3,4,2,Manufacturing Director
21,27,36,Yes,Sales,5,3,0,3,27,10,4,Male,No,4,2,1,Sales Representative
22,28,34,No,Research & Development,12,6,2,11,28,13,4,Female,No,3,3,3,Research Director
23,30,21,No,Research & Development,0,0,0,0,30,0,6,Male,No,3,3,1,Research Scientist
24,31,34,Yes,Research & Development,4,2,1,3,31,8,2,Male,No,3,3,1,Research Scientist
25,32,53,No,Research & Development,14,13,4,8,32,26,3,Female,No,3,3,5,Manager
26,33,32,Yes,Research & Development,10,2,6,7,33,10,5,Female,Yes,4,1,1,Research Scientist
27,35,42,No,Sales,9,7,4,2,35,10,2,Male,No,3,3,2,Sales Executive
28,36,44,No,Research & Development,22,6,5,17,36,24,4,Female,No,3,2,3,Healthcare Representative
29,38,46,No,Sales,2,2,2,1,38,22,2,Female,No,3,3,5,Manager
30,39,33,No,Research & Development,1,1,0,0,39,7,3,Male,No,3,3,1,Laboratory Technician
31,40,44,No,Research & Development,4,2,1,3,40,9,5,Male,Yes,3,3,2,Healthcare Representative
32,41,30,No,Research & Development,10,0,1,8,41,10,5,Male,No,3,2,1,Laboratory Technician
33,42,39,Yes,Sales,1,0,0,0,42,19,6,Male,No,3,3,2,Sales Representative
34,45,24,Yes,Research & Development,2,0,2,0,45,6,2,Male,Yes,3,3,1,Research Scientist
35,46,43,No,Research & Development,5,3,1,4,46,6,3,Female,No,3,4,1,Research Scientist
36,47,50,Yes,Sales,3,2,0,2,47,3,2,Male,Yes,3,2,1,Sales Representative
37,49,35,No,Sales,2,2,2,2,49,2,3,Female,No,3,3,1,Sales Representative
38,51,36,No,Research & Development,1,1,0,0,51,6,3,Female,Yes,3,2,1,Research Scientist
39,52,33,No,Sales,5,3,1,3,52,10,3,Female,No,3,4,2,Sales Executive
40,53,35,No,Research & Development,1,0,0,0,53,1,3,Male,No,3,3,1,Laboratory Technician
41,54,27,No,Research & Development,1,0,0,0,54,1,6,Female,No,3,3,1,Laboratory Technician
42,55,26,Yes,Research & Development,1,0,0,1,55,1,2,Male,No,3,1,1,Laboratory Technician
43,56,27,No,Sales,9,8,1,7,56,9,0,Male,No,3,3,3,Sales Executive
44,57,30,No,Research & Development,12,8,3,7,57,12,2,Female,No,4,3,2,Laboratory Technician
45,58,41,Yes,Research & Development,22,15,15,8,58,23,0,Female,No,3,3,5,Research Director
46,60,34,No,Sales,9,5,8,7,60,10,2,Male,No,4,3,2,Sales Executive
47,61,37,No,Research & Development,1,0,0,0,61,8,1,Male,No,4,3,1,Research Scientist
48,62,46,No,Sales,9,6,0,8,62,14,4,Male,Yes,4,3,2,Sales Executive
49,63,35,No,Research & Development,1,0,0,1,63,1,2,Male,No,3,4,1,Laboratory Technician
50,64,48,Yes,Research & Development,1,0,0,0,64,23,2,Male,Yes,3,2,3,Laboratory Technician
51,65,28,Yes,Research & Development,2,2,2,2,65,2,3,Male,Yes,3,3,1,Laboratory Technician
52,68,44,No,Sales,4,3,1,3,68,9,2,Female,Yes,4,3,2,Sales Executive
53,70,35,No,Research & Development,4,0,2,3,70,10,3,Male,Yes,3,2,3,Healthcare Representative
54,72,26,No,Sales,2,2,0,0,72,5,2,Female,Yes,3,2,2,Sales Executive
55,73,33,No,Research & Development,15,14,8,12,73,15,1,Female,Yes,3,3,3,Research Director
56,74,35,No,Sales,9,8,1,8,74,9,3,Male,No,4,3,3,Sales Executive
57,75,35,No,Research & Development,2,2,2,2,75,4,3,Female,Yes,3,3,1,Laboratory Technician
58,76,31,No,Research & Development,7,7,1,7,76,10,3,Male,No,4,3,2,Laboratory Technician
59,77,37,No,Research & Development,7,5,0,7,77,7,2,Male,No,3,2,2,Manufacturing Director
60,78,32,No,Research & Development,9,8,7,8,78,9,3,Male,Yes,4,3,2,Manufacturing Director
61,79,38,No,Research & Development,10,3,9,9,79,10,2,Female,No,3,3,2,Laboratory Technician
62,80,50,No,Research & Development,27,3,13,8,80,29,2,Female,Yes,3,2,5,Research Director
63,81,59,No,Sales,21,16,7,9,81,28,3,Female,No,3,3,3,Sales Executive
64,83,36,No,Research & Development,17,14,12,8,83,17,2,Female,No,3,3,3,Healthcare Representative
65,84,55,No,Research & Development,5,0,0,2,84,21,2,Female,Yes,3,3,4,Manager
66,85,36,No,Research & Development,6,5,0,3,85,6,3,Male,No,3,2,2,Manufacturing Director
67,86,45,No,Research & Development,1,0,0,0,86,25,2,Male,No,3,3,3,Research Scientist
68,88,35,No,Research & Development,3,2,1,2,88,5,2,Male,No,3,3,1,Research Scientist
69,90,36,Yes,Research & Development,1,0,0,0,90,2,0,Male,Yes,3,2,1,Research Scientist
70,91,59,No,Sales,4,3,1,3,91,20,2,Female,No,3,2,2,Sales Executive
71,94,29,No,Research & Development,5,4,0,4,94,6,3,Male,No,4,3,1,Research Scientist
72,95,31,No,Research & Development,1,1,1,0,95,1,4,Male,No,3,3,1,Research Scientist
73,96,32,No,Research & Development,10,4,0,9,96,10,3,Male,No,3,3,2,Research Scientist
74,97,36,No,Research & Development,1,0,0,0,97,5,3,Female,No,3,4,1,Laboratory Technician
75,98,31,No,Research & Development,11,7,1,8,98,11,2,Female,No,4,3,2,Manufacturing Director
76,100,35,No,Sales,15,13,2,8,100,16,2,Male,No,3,2,2,Sales Executive
77,101,45,No,Research & Development,0,0,0,0,101,17,3,Male,Yes,3,3,3,Research Director
78,102,37,No,Research & Development,5,2,0,2,102,16,3,Male,No,3,3,3,Research Director
79,103,46,No,Human Resources,4,2,0,2,103,16,2,Male,Yes,4,3,2,Human Resources
80,104,30,No,Research & Development,10,8,3,0,104,10,1,Male,Yes,3,2,2,Laboratory Technician
81,105,35,No,Research & Development,6,4,0,4,105,6,3,Male,No,3,2,1,Research Scientist
82,106,55,No,Sales,1,0,1,0,106,24,4,Male,No,3,3,3,Sales Executive
83,107,38,No,Research & Development,13,11,1,9,107,17,3,Female,Yes,3,1,2,Research Scientist
84,110,34,No,Research & Development,5,2,1,3,110,5,2,Male,No,3,3,2,Manufacturing Director
85,112,56,No,Research & Development,6,4,0,2,112,37,3,Male,No,3,1,3,Manufacturing Director
86,113,23,No,Sales,0,0,0,0,113,3,3,Male,No,3,3,1,Sales Representative
87,116,51,No,Research & Development,4,2,0,3,116,10,4,Male,No,4,3,1,Laboratory Technician
88,117,30,No,Research & Development,11,10,10,8,117,11,3,Male,No,3,2,2,Healthcare Representative
89,118,46,Yes,Sales,9,8,4,7,118,9,3,Male,No,3,2,3,Sales Executive
90,119,40,No,Research & Development,22,3,11,11,119,22,3,Male,No,4,2,4,Healthcare Representative
91,120,51,No,Sales,10,7,1,0,120,11,2,Male,Yes,4,3,2,Sales Executive
92,121,30,No,Sales,11,8,2,7,121,11,4,Female,Yes,3,2,2,Sales Executive
93,124,46,No,Research & Development,10,9,9,5,124,21,5,Male,Yes,3,2,3,Healthcare Representative
94,125,32,No,Sales,11,8,5,7,125,12,0,Male,No,3,3,2,Sales Executive
95,126,54,No,Research & Development,4,3,0,3,126,16,5,Female,No,3,3,3,Research Director
96,128,24,No,Sales,3,2,0,2,128,4,2,Female,No,4,3,2,Sales Executive
97,129,28,No,Sales,5,4,0,4,129,5,3,Male,No,3,3,2,Sales Executive
98,131,58,No,Sales,37,10,1,8,131,38,1,Male,No,3,3,4,Sales Executive
99,132,44,No,Research & Development,3,2,1,2,132,17,3,Male,No,3,3,2,Laboratory Technician
100,133,37,Yes,Human Resources,3,2,0,2,133,7,3,Male,Yes,4,3,1,Human Resources
101,134,32,No,Research & Development,1,0,0,0,134,1,2,Male,No,3,3,1,Research Scientist
102,137,20,Yes,Research & Development,1,0,1,0,137,1,5,Female,Yes,3,2,1,Laboratory Technician
103,138,34,No,Research & Development,16,13,2,10,138,16,3,Female,No,3,3,2,Research Scientist
104,139,37,No,Research & Development,1,0,0,0,139,17,2,Male,No,3,2,2,Healthcare Representative
105,140,59,No,Human Resources,3,2,2,2,140,30,3,Female,No,4,2,5,Manager
106,141,50,No,Research & Development,8,3,0,7,141,28,1,Female,Yes,3,3,5,Research Director
