_id,student_id,email,first_name,last_name,gender,country,race,age,college,campus,department,enrollment_year,state,courses[0],courses[1],courses[2],courses[3],courses[4],courses[5],courses[6],courses[7],housing,advisor,gpa,graded_course[0],graded_course[1],graded_course[2],graded_course[3],graded_course[4],graded_course[5],graded_course[6],graded_course[7],graded_course[8],graded_course[9],graded_course[10],graded_electives[0],graded_electives[1],graded_electives[2],electives[0],award,scholarship
6654a524bcd46b0063b0072d,CBA-Com-Gre1825On,-Gre1825On@golheights.com,Gregory,Oneill,Male,United States,Asian,24,CBAS,Golden Grove Campus,Computer Science,2022,Ohio,CBASInt992,CBASDat377,CBASCom706,CBASOpe763,CBASDat162,CBASPro421,,,GolJayito774,goladviGooMac567,2.43,CBASSof599,CBASArt423,CBASMac741,CBASCom743,,,,,,,,CBASCom968,CBASMob591,,,,
6654a524bcd46b0063b0072e,CBA-Ele-Vic18084An,Vic18084An@golheights.com,Victoria,Anderson,Female,United States,Asian,35,CBAS,Lakeside Vista Campus,Electrical Engineering,2022,West Virginia,CBASCir728,CBASEle690,CBASDig328,CBASSig340,CBASEle473,CBASPow55,,,LakDraio 1442,goladviWarLar758,2.32,CBASCon222,CBASCom355,CBASEmb970,CBASRen780,,,,,,,,CBASNan21,CBASEle239,,,,
6654a525bcd46b0063b0072f,CHS-Edu-Van7444Ca,-Van7444Ca@golheights.com,Vanessa,Castillo,Female,United States,White,29,CHSP,Lakeside Vista Campus,Education,2023,Illinois,CHSPInt917,CHSPEdu701,CHSPCur241,CHSPTea69,CHSPAss76,CHSPCla256,CHSPSpe797,CHSPEdu265,LakTulito1288,goladviGomJoh307,3.14,CHSPLan891,CHSPCul127,,,,,,,,,,CHSPSoc182,,,CHSPLit483,,
6654a525bcd46b0063b00730,CBA-Civ-Cha23950Ar,Cha23950Ar@golheights.com,Charles,Arellano,Male,Belgium,Asian,27,CBAS,Golden Grove Campus,Civil Engineering,2023,,CBASSta324,CBASStr864,CBASRei397,CBASSte594,CBASGeo47,CBASFou805,CBASTra928,CBASHyd712,GolJayito774,goladviFloTam447,2.64,CBASEnv579,CBASCon771,,,,,,,,,,CBASStr974,,,CBASCon620,,
6654a525bcd46b0063b00731,CBA-For-Kar11653Sh,Kar11653Sh@golheights.com,Karla,Short,Queer,United States,Black-African,29,CBAS,Evergreen Heights Campus,Forestry,2021,Arkansas,CBASFor724,CBASFor143,CBASFor569,CBASRem706,,,,,EvePitito920,goladviCurEdg44,2.88,CBASInt540,CBASFor921,CBASFor691,CBASFor935,CBASSil126,CBASWil643,,,,,,CBASFor40,CBASUrb218,,,,
6654a525bcd46b0063b00732,CBA-Mat-Joh21093We,Joh21093We@golheights.com,John,Weiss,Queer,Vatican City,Other,23,CBAS,Golden Grove Campus,Materials Science,2021,,CBASCer832,CBASMet73,CBASNan534,CBASCom158,,,,,GolNasito1204,goladviGonRob332,2.98,CBASInt109,CBASCry912,CBASMec941,CBASEle131,CBASThe251,CBASPol436,,,,,,CBASBio95,CBASSur87,,,,
6654a525bcd46b0063b00733,CBA-Bio-Bra10788Ba,Bra10788Ba@golheights.com,Brandon,Bautista,Male,Malaysia,Asian,28,CBAS,Golden Grove Campus,Biochemistry,2021,,CBASNuc704,CBASGen628,CBASMol598,CBASBio11,,,,,GolSpaito855,goladviKinKev767,1.95,CBASInt585,CBASPro611,CBASBio608,CBASMet784,CBASLip854,CBASCar248,,,,,,CBASMed365,CBASBio704,,,,
6654a525bcd46b0063b00734,CBE-Hum-Jen21866Ba,Jen21866Ba@golheights.com,Jennifer,Barnes,Female,Romania,Other,17,CBE,Summit Valley Campus,Human Resource Management,2020,,,,,,,,,,SumSunito838,goladviPetBar236,3.39,CBEInt739,CBEHum201,CBETal776,CBEPer177,CBETra531,CBECom552,CBEEmp103,CBEDiv842,CBEHR 622,CBELab121,,CBECha740,CBEGlo561,,,,
6654a526bcd46b0063b00735,CBA-Com-Kar16445Da,Kar16445Da@golheights.com,Karen,Davis,Female,United States,Other,18,CBAS,Lakeside Vista Campus,Computer Science,2021,California,CBASSof599,CBASArt423,CBASMac741,CBASCom743,,,,,LakRadito985,goladviSchJes621,2.3,CBASInt992,CBASDat377,CBASCom706,CBASOpe763,CBASDat162,CBASPro421,,,,,,CBASMob591,CBASWeb655,,,,
6654a526bcd46b0063b00736,CBA-Ind-Tim9799Mi,-Tim9799Mi@golheights.com,Timothy,Miller,Male,Czech Republic,Black-African,29,CBAS,Summit Valley Campus,Industrial Engineering,2022,,CBASOpe643,CBASSup205,CBASPro554,CBASQua207,CBASFac461,CBASLea208,,,SumSunito838,goladviWonJes16,1.05,CBASSix532,CBASHum896,CBASPro380,CBASEng228,,,,,,,,CBASRel985,CBASSim311,,,,
6654a526bcd46b0063b00737,CHS-Art-Chr2415Co,-Chr2415Co@golheights.com,Christina,Combs,Female,Monaco,Asian,25,CHSS,Evergreen Heights Campus,Art History,2023,,CHSSInt776,CHSSAnc701,CHSSMed67,CHSSRen658,CHSSBar75,CHSSNeo944,CHSSMod708,CHSSCon93,EveWinio 1424,goladviPalWal576,2.12,CHSSAsi302,CHSSAfr204,,,,,,,,,,CHSSNat756,,,CHSSGen365,,
6654a526bcd46b0063b00738,CHS-Pub-Cal17844Fe,Cal17844Fe@golheights.com,Calvin,Fernandez,Male,United States,White,27,CHSP,Golden Grove Campus,Public Health,2023,Maine,CHSPInt193,CHSPEpi567,CHSPBio390,CHSPHea480,CHSPEnv379,CHSPGlo865,CHSPHea393,CHSPMat442,GolSpaito855,goladviLeeSam228,3.15,CHSPInf628,CHSPChr134,,,,,,,,,,CHSPPro410,,,CHSPPub315,,
6654a526bcd46b0063b00739,CBA-Neu-Pat20941Mo,Pat20941Mo@golheights.com,Patricia,Moody,Female,Kiribati,Asian,25,CBAS,Summit Valley Campus,Neurology,2021,,CBASSen139,CBASMot205,CBASNeu487,CBASNeu322,,,,,SumCumito859,goladviGreMic445,2.17,CBASInt680,CBASNeu49,CBASNeu611,CBASNeu588,CBASNeu285,CBASDev321,,,,,,CBASNeu890,CBASNeu646,,,,
6654a526bcd46b0063b0073a,CHS-Soc-Don13522Ca,Don13522Ca@golheights.com,Donna,Carr,Female,United States,Other,33,CHSS,Golden Grove Campus,Sociology,2020,Montana,,,,,,,,,GolIroio 1391,goladviMilChr194,2.96,CHSSInt607,CHSSSoc558,CHSSRes404,CHSSCul337,CHSSGen514,CHSSRac962,CHSSSoc213,CHSSFam19,CHSSUrb600,CHSSGlo71,,CHSSSoc125,CHSSSoc789,,,,
6654a526bcd46b0063b0073b,CBA-Der-Mar6428Br,-Mar6428Br@golheights.com,Mark,Bryan,Queer,United States,Asian,28,CBAS,Golden Grove Campus,Dermatology,2020,Alabama,,,,,,,,,GolStaito613,goladviGarCur664,3.17,CBASInt700,CBASSki433,CBASDer901,CBASDer260,CBASCos963,CBASMed896,CBASPed919,CBASDer821,CBASDer774,CBASDer394,,CBASDer615,CBASDer731,,,,
